Adversaire,Date,Match_Teams,Joueur,Note_txt,Note_num,Match,sort,count,match_rank
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Pau Lopez,2,2.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Rongier,4,4.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Saliba,3+,3.4,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Kolasinac,1,1.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Ünder,4,4.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Kamara,4,4.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Guendouzi,4,4.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Gerson,4-,3.6,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Harit,4,4.0,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Payet,2+,2.4,Saint-Étienne 04/04/2022,20220404,1,1.0
Saint-Étienne,2022-04-04,Saint-Étienne-OM 2-4,Dieng,3+,3.4,Saint-Étienne 04/04/2022,20220404,1,1.0
Bâle,2022-03-18,Bâle-OM 1-2,Mandanda,3,3.0,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Lirola,2,2.0,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Saliba,2,2.0,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Luan Peres,1+,1.4,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Rongier,4,4.0,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Gueye,4-,3.6,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Guendouzi,4,4.0,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Harit,2,2.0,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Gerson,4+,4.4,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Ünder,4-,3.6,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Bakambu,2+,2.4,Bâle 18/03/2022,20220318,1,3.0
Bâle,2022-03-18,Bâle-OM 1-2,Milik,2-,1.6,Bâle 18/03/2022,20220318,1,3.0
Nice,2022-03-21,OM-Nice 2-1,Pau Lopez,4-,3.6,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Saliba,2+,2.4,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Kamara,4,4.0,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Rongier,3,3.0,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Gueye,4-,3.6,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Guendouzi,3+,3.4,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Gerson,4,4.0,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Ünder,3-,2.6,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Payet,2+,2.4,Nice 21/03/2022,20220321,1,2.0
Nice,2022-03-21,OM-Nice 2-1,Milik,3,3.0,Nice 21/03/2022,20220321,1,2.0
Brest,2022-03-14,Brest-OM 1-4,Pau Lopez,3,3.0,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Lirola,1,1.0,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Balerdi,2,2.0,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Saliba,3+,3.4,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Kolasinac,2+,2.4,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Kamara,3+,3.4,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Gueye,4,4.0,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Guendouzi,3+,3.4,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Gerson,4,4.0,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Harit,4,4.0,Brest 14/03/2022,20220314,1,4.0
Brest,2022-03-14,Brest-OM 1-4,Milik,4,4.0,Brest 14/03/2022,20220314,1,4.0
Clermont,2022-02-21,OM-Clermont 0-2,Pau Lopez,3,3.0,Clermont 21/02/2022,20220221,1,9.0
Clermont,2022-02-21,OM-Clermont 0-2,Lirola,2,2.0,Clermont 21/02/2022,20220221,1,9.0
Clermont,2022-02-21,OM-Clermont 0-2,Saliba,2,2.0,Clermont 21/02/2022,20220221,1,9.0
Clermont,2022-02-21,OM-Clermont 0-2,Kolasinac,1+,1.4,Clermont 21/02/2022,20220221,1,9.0
Clermont,2022-02-21,OM-Clermont 0-2,Dieng,3,3.0,Clermont 21/02/2022,20220221,1,9.0
Clermont,2022-02-21,OM-Clermont 0-2,Rongier,2-,1.6,Clermont 21/02/2022,20220221,1,9.0
Clermont,2022-02-21,OM-Clermont 0-2,Guendouzi,1+,1.4,Clermont 21/02/2022,20220221,1,9.0
