Titre,Date,url,Domicile,Adversaire,Buts_R,Buts_V,Buts_OM,Buts_Adversaire,Résultat
"Bâle-OM (1-2), La Canebière académie est bien dedans",2022-03-18,https://horsjeu.net/france/lelite/la-canebiere-academie/bale-om-1-2-la-canebiere-academie-est-bien-dedans/,False,Bâle,1,2,2,1,Victoire
"OM-Nice (2-1), La Canebière académie atteint un palier",2022-03-21,https://horsjeu.net/france/lelite/la-canebiere-academie/om-nice-2-1-la-canebiere-academie-atteint-un-palier/,True,Nice,2,1,2,1,Victoire
"Brest-OM (1-4), La Canebière académie empoche",2022-03-14,https://horsjeu.net/france/lelite/la-canebiere-academie/brest-om-1-4-la-canebiere-academie-empoche/,False,Brest,1,4,4,1,Victoire
"OM-Clermont (0-2), La Canebière académie se décourage",2022-02-21,https://horsjeu.net/france/lelite/la-canebiere-academie/om-clermont-0-2-la-canebiere-academie-se-decourage/,True,Clermont,0,2,0,2,Défaite
Qarabag-OM (0-3) : La Canebière Académie dégoûte,2022-02-27,https://horsjeu.net/france/lelite/la-canebiere-academie/qarabag-om-0-3-la-canebiere-academie-degoute/,False,Qarabag,0,3,3,0,Victoire
"Troyes-OM (1-1), La Canebière académie a peur de la peur",2022-02-28,https://horsjeu.net/france/lelite/la-canebiere-academie/troyes-om-1-1-la-canebiere-academie-a-peur-de-la-peur/,False,Troyes,1,1,1,1,Nul
"OM-Monaco (0-1), La Canebière académie se laisse glisser",2022-03-07,https://horsjeu.net/france/lelite/la-canebiere-academie/om-monaco-0-1-la-canebiere-academie-se-laisse-glisser/,True,Monaco,0,1,0,1,Défaite
"OM-Bâle (2-1), La Canebière académie arrose",2022-03-11,https://horsjeu.net/france/lelite/la-canebiere-academie/om-bale-2-1-la-canebiere-academie-arrose/,True,Bâle,2,1,2,1,Victoire
"Lyon-OM (2-1), La Canebière académie ne tient pas la distance",2022-02-02,https://horsjeu.net/france/lelite/la-canebiere-academie/lyon-om-2-1-la-canebiere-academie-ne-tient-pas-la-distance/,False,Lyon,2,1,1,2,Défaite
"OM-Angers (5-2), La Canebière académie se remet en selle",2022-02-05,https://horsjeu.net/france/lelite/la-canebiere-academie/om-angers-5-2-la-canebiere-academie-se-remet-en-selle/,True,Angers,5,2,5,2,Victoire
"Nice-OM (4-1), La Canebière académie est constante dans la déception",2022-02-10,https://horsjeu.net/france/lelite/la-canebiere-academie/nice-om-4-1-la-canebiere-academie-est-constante-dans-la-deception/,False,Nice,4,1,1,4,Défaite
"Metz-OM (1-2), La Canebière académie ne comprend pas tout mais fait son travail",2022-02-14,https://horsjeu.net/france/lelite/la-canebiere-academie/metz-om-1-2-la-canebiere-academie-ne-comprend-pas-tout-mais-fait-son-travail/,False,Metz,1,2,2,1,Victoire
"OM-Qarabag (3-1), La Canebière académie fait le travail",2022-02-18,https://horsjeu.net/france/lelite/la-canebiere-academie/om-qarabag-3-1-la-canebiere-academie-fait-le-travail/,True,Qarabag,3,1,3,1,Victoire
"Chauvigny-OM (0-3), La Canebière académie a fini de plaisanter",2022-01-03,https://horsjeu.net/france/lelite/la-canebiere-academie/chauvigny-om-0-3-la-canebiere-academie-a-fini-de-plaisanter/,False,Chauvigny,0,3,3,0,Victoire
"Bordeaux-OM (0-1), La Canebière académie passe à autre chose",2022-01-08,https://horsjeu.net/france/lelite/la-canebiere-academie/bordeaux-om-0-1-la-canebiere-academie-passe-a-autre-chose/,False,Bordeaux,0,1,1,0,Victoire
"OM-Lille (1-1), La Canebière académie se lasse",2022-01-17,https://horsjeu.net/france/lelite/la-canebiere-academie/om-lille-1-1-la-canebiere-academie-se-lasse/,True,Lille,1,1,1,1,Nul
"Lens-OM (0-2), La Canebière académie convainc",2022-01-23,https://horsjeu.net/france/lelite/la-canebiere-academie/lens-om-0-2-la-canebiere-academie-convainc/,False,Lens,0,2,2,0,Victoire
"OM-Montpellier (1-1, 5-4 t.a.b), La Canebière académie commémore",2022-01-30,https://horsjeu.net/france/lelite/la-canebiere-academie/om-montpellier-1-1-5-4-t-a-b-la-canebiere-academie-commemore/,True,Montpellier,1,1,1,1,Nul
"OM-Brest (1-2), La Canebière académie manque d’efficacité",2021-12-05,https://horsjeu.net/france/lelite/la-canebiere-academie/om-brest-1-2-la-canebiere-academie-manque-defficacite/,True,Brest,1,2,1,2,Défaite
